id,name,name_jp,hash,rarity,class,image_url
16000068,MAISIE,,maisie,Epic,MARKSMAN,https://cdn.brawlify.com/brawlers/borders/16000068.png
16000069,HANK,,hank,Epic,TANK,https://cdn.brawlify.com/brawlers/borders/16000069.png
16000070,CORDELIUS,,cordelius,Legendary,ASSASSIN,https://cdn.brawlify.com/brawlers/borders/16000070.png
16000071,DOUG,,doug,Mythic,SUPPORT,https://cdn.brawlify.com/brawlers/borders/16000071.png
16000072,PEARL,,pearl,Epic,DAMAGE-DEALER,https://cdn.brawlify.com/brawlers/borders/16000072.png
16000073,CHUCK,,chuck,Mythic,DAMAGE-DEALER,https://cdn.brawlify.com/brawlers/borders/16000073.png
16000074,CHARLIE,,charlie,Mythic,CONTROLLER,https://cdn.brawlify.com/brawlers/borders/16000074.png
16000075,MICO,,mico,Mythic,ASSASSIN,https://cdn.brawlify.com/brawlers/borders/16000075.png
16000076,KIT,,kit,Legendary,SUPPORT,https://cdn.brawlify.com/brawlers/borders/16000076.png
16000077,LARRY-LAWRIE,,larry-lawrie,Epic,ARTILLERY,https://cdn.brawlify.com/brawlers/borders/16000077.png
16000078,MELODIE,,melodie,Mythic,ASSASSIN,https://cdn.brawlify.com/brawlers/borders/16000078.png
16000079,ANGELO,,angelo,Epic,MARKSMAN,https://cdn.brawlify.com/brawlers/borders/16000079.png
16000080,DRACO,,draco,Legendary,TANK,https://cdn.brawlify.com/brawlers/borders/16000080.png
16000081,LILY,,lily,Mythic,ASSASSIN,https://cdn.brawlify.com/brawlers/borders/16000081.png
16000082,BERRY,,berry,Epic,SUPPORT,https://cdn.brawlify.com/brawlers/borders/16000082.png
16000083,CLANCY,,clancy,Mythic,DAMAGE-DEALER,https://cdn.brawlify.com/brawlers/borders/16000083.png
16000084,MOE,,moe,Mythic,DAMAGE-DEALER,https://cdn.brawlify.com/brawlers/borders/16000084.png
16000085,KENJI,,kenji,Legendary,ASSASSIN,https://cdn.brawlify.com/brawlers/borders/16000085.png
16000086,SHADE,,shade,Epic,ASSASSIN,https://cdn.brawlify.com/brawlers/borders/16000086.png
16000087,JUJU,,juju,Mythic,ARTILLERY,https://cdn.brawlify.com/brawlers/borders/16000087.png
16000088,BUZZ-LIGHTYEAR,,buzz-lightyear,Legendary,Unknown,https://cdn.brawlify.com/brawlers/borders/16000088.png
16000089,MEEPLE,,meeple,Epic,Unknown,https://cdn.brawlify.com/brawlers/borders/16000089.png
16000090,OLLIE,,ollie,Mythic,Unknown,https://cdn.brawlify.com/brawlers/borders/16000090.png
16000091,LUMI,,lumi,Mythic,DAMAGE-DEALER,https://cdn.brawlify.com/brawlers/borders/16000091.png
16000092,FINX,,finx,Mythic,Unknown,https://cdn.brawlify.com/brawlers/borders/16000092.png
16000093,JAE-YONG,,jae-yong,Mythic,Unknown,https://cdn.brawlify.com/brawlers/borders/16000093.png
16000094,KAZE,,kaze,Ultra Legendary,Unknown,https://cdn.brawlify.com/brawlers/borders/16000094.png
16000095,ALLI,,alli,Mythic,Unknown,https://cdn.brawlify.com/brawlers/borders/16000095.png
16000096,TRUNK,,trunk,Epic,Unknown,https://cdn.brawlify.com/brawlers/borders/16000096.png
16000097,MINA,,mina,Mythic,Unknown,https://cdn.brawlify.com/brawlers/borders/16000097.png
16000098,ZIGGY,,ziggy,Mythic,Unknown,https://cdn.brawlify.com/brawlers/borders/16000098.png
16000099,PIERCE,,pierce,Legendary,Unknown,https://cdn.brawlify.com/brawlers/borders/16000099.png
16000100,GIGI,,gigi,Mythic,Unknown,https://cdn.brawlify.com/brawlers/borders/16000100.png
16000101,GLOWBERT,,glowbert,Mythic,Unknown,https://cdn.brawlify.com/brawlers/borders/16000101.png
